id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actors,characters,director
tm408257,"['todo', 'lo', 'que', 'serum', 'lucas', 'lauriente']",MOVIE,"['standup', 'set', 'argentine', 'comic', 'lucas', 'lauriente', 'animatedly', 'rattle', 'reflection', 'different', 'generation', 'begs', 'kid', 'stop', 'saying', 'goal']",MEDIUM,3.0,74,['comedy'],"['AR', 'US']",,tt7607452,6.7,110.0,0.739,7.5,['lucas lauriente'],['himself'],"['ral campos', 'jan suter']"
tm371188,['friendbutmarried'],MOVIE,"['pining', 'high', 'school', 'crush', 'year', 'young', 'man', 'put', 'best', 'effort', 'move', 'friend', 'zone', 'reveals', 'shes', 'getting', 'married']",MEDIUM,3.0,102,"['romance', 'comedy', 'drama']",['ID'],,tt8076266,6.8,714.0,1.257,6.7,"['adipati dolken', 'vanesha prescilla', 'rendi jhon', 'beby tsabina', 'denira wiraguna', 'refal hady', 'diandra agatha', 'iqbaal dhiafakhri ramadhan', 'sari nila', 'ivan leonardy', 'shara virrisya', 'clay gribble', 'sandrinna michelle', 'cole gribble', 'atiq rahman', 'rival soebandri', 'sarah sechan', 'ridwan kamil', 'khiva iskak', 'martina tesella', 'royhan hidayat', 'meutia setijono pudjowarsito', 'fahmi agelan', 'wulan sohora', 'indah alya', 'andarumayasa', 'muldani muwahid', 'ditto percussion']","['ditto', 'ayu', 'darma', 'mili', 'dila', 'rifnu', 'aca', 'iqbaal', 'dittos mother', 'dittos father', 'ayus mother', 'diko', 'ayu little', 'ditto little', 'abe', 'iqbal', 'herself', 'himself', 'music engineer', 'floor director', 'ayus acting opponent', 'director', 'headman', 'milas friend 1', 'milas friend 2', 'milas friend 3', 'concert crew', 'himself']",['rako prijanto']
tm429174,"['gun', 'city']",MOVIE,"['barcelona', 'spain', '1921', 'tough', 'cop', 'madrid', 'arrives', 'city', 'locate', 'suspicious', 'scrutiny', 'corrupt', 'local', 'police', 'officer', 'significant', 'amount', 'military', 'weaponry', 'stolen', 'train', 'allegedly', 'revolutionary', 'anarchist']",MEDIUM,2.5,127,"['thriller', 'action', 'crime', 'history', 'european']","['ES', 'FR']",,tt7104984,6.3,3895.0,6.61,6.4,"['luis tosar', 'michelle jenner', 'vicente romero', 'manolo solo', 'paco tous', 'jaime lorente', 'pep tosar', 'ernesto alterio', 'adriana torrebejano', 'jos manuel poga', 'william miller', 'albert prez', 'ricardo de barreiro', 'paula del ro', 'jos barato', 'fernando cayo', 'elas pelayo']","['anbal', 'sara', 'redi', 'barn', 'salvador', 'len', 'police commissioner', 'tsico', 'lola', 'mallorqun', 'garca serrano', 'manco', 'shift chief', 'elisa', 'matre', 'minister', 'martnez anido']",['dani de la torre']
tm362047,"['todd', 'barry', 'spicy', 'honey']",MOVIE,"['bonedry', 'wit', 'standup', 'comic', 'todd', 'barry', 'dissects', 'texting', 'emergency', 'hitler', 'taste', 'wine', 'pricey', 'soap', 'cheap', 'pizza', 'much']",MEDIUM,3.0,60,['comedy'],['US'],,tt6856186,6.8,855.0,2.682,7.3,['todd barry'],['himself'],['jay chapman']
tm351171,"['travel', 'buddy']",MOVIE,"['day', 'eid', 'salesman', 'fired', 'job', 'drive', 'meet', 'girlfriend', 'family', 'trip', 'go', 'astray', 'due', 'zany', 'travel', 'buddy']",MEDIUM,3.0,115,['comedy'],['TR'],,tt7535792,6.1,6747.0,6.46,5.7,"['ouzhan ko', 'ibrahim bykak', 'eda ece', 'asl bekirolu', 'emre knay', 'dilber ay', 'bahar ahin', 'muharrem bayrak', 'toygan avanolu', 'erdem ba', 'kadir polat', 'nadide deniz korkmaz', 'zeynep tekin', 'hanifi konuksever', 'rahsan firtina', 'serhat mustafa kl', 'sevilay sandiki', 'grkan deniz akhanl', 'cihan aksoy', 'hseyin demir', 'asena giriken', 'serpil toprak', 'bahri akin', 'soner ada', 'selim akay', 'tuncay aka', 'salih avcioglu', 'enay bozoklar', 'ekrem caglayan', 'ramiz coskun', 'cumhur frankurt', 'yunus emre geyik', 'oguzhan gl', 'shohrat haitov', 'nurseli idiz', 'acun ilcal', 'nazmi kahraman', 'ahmet enes kanca', 'tuncay mamak', 'kaan mutlu', 'can sahinz', 'numan enes sariarslan', 'askin mert tiras', 'caner tfek', 'yakup yavru', 'zafer yildiz', 'inasi yurtsever', 'mert zaim', 'emre yilmaz', 'eser yenenler']","['onur', 'eref', 'aysun', 'bahar', 'fevzi', 'muzaffer usta', 'cemre', 'ahmet', 'apkin doktor', 'yetkili radyolog', 'gvenlik mdr', 'eylemci 1', 'eylemci 2', 'eylemci 3', 'nazan', 'bugrahan', 'ezgisah', 'serdar', 'ekrem', 'murat', 'jlide', 'doktor asistani', 'bayram', 'kahvalti yapan adam', 'bakkal mehmet', 'gvenlik grevlisi 1', 'nan', 'hala', 'polis', 'nan', 'nan', 'nan', 'nan', 'onurun dublr', 'skran', 'tv sunucusu', 'vale 1', 'nan', 'nan', 'mucaver', 'nan', 'nan', 'nan', 'caner', 'nan', 'nan', 'kivan', 'fuarda sayheye ikan adam', 'doktor uncredited', 'fuar sunucusu']",['bedran gzel']
tm434776,"['mo', 'amer', 'vagabond']",MOVIE,"['arabamerican', 'comedian', 'mo', 'amer', 'recount', 'life', 'refugee', 'comic', 'traveling', 'name', 'mohammed', 'long', 'path', 'citizenship']",MEDIUM,3.0,56,"['comedy', 'documentation']",['US'],,tt9060526,7.3,838.0,2.374,5.7,['mo amer'],['himself'],['stan lathan']
tm444576,"['puppy', 'star', 'christmas']",MOVIE,"['pup', 'star', 'family', 'got', 'bigger', 'new', 'pup', 'cindy', 'rosie', 'charlie', 'brody', 'learn', 'true', 'meaning', 'christmas', 'star', 'mean', 'team', 'scheme', 'ruin', 'pup', 'end', 'north', 'pole', 'save', 'santa', 'holiday', 'spirit', 'adventure', 'filled', 'great', 'puptastic', 'song', 'spread', 'cheer', 'year', 'round']",MEDIUM,2.0,90,"['family', 'comedy']",['US'],,tt8861786,3.6,249.0,4.446,5.7,"['jed rees', 'richard riehle', 'makenzie moss', 'denisse ojeda', 'reggie de leon', 'danny woodburn', 'patrika darbo', 'david deluise', 'kaitlyn maher', 'mackenzie sol', 'jorge diaz', 'george newbern', 'diedrich bader', 'chloe coleman', 'dillon fontana', 'oakley bull', 'vivienne rutherford', 'jonathan magnum', 'steve valentine', 'betsy stover', 'tyreese burnett', 'michael teigen', 'nic novicki', 'brian hull', 'brenden sunderland']","['roland', 'santa claus', 'lou', 'ida', 'shep', 'eli', 'mrs claus', 'steven', 'tiny', 'pup', 'julio', 'bark', 'kano', 'charlie', 'brody', 'cindy', 'rosie', 'rover', 'simon growl', 'lady paw paw  vixen', 'dog gnarly', 'tela novella director', 'elon', 'blitzen', 'young roland']",['robert vince']
tm814861,['nobleman'],MOVIE,"['15', 'year', 'old', 'boy', 'struggling', 'adolescent', 'year', 'terrorized', 'gang', 'bully', 'posh', 'boarding', 'school', 'set', 'forth', 'chain', 'event', 'lead', 'loss', 'life', 'innocence']",MEDIUM,3.0,108,['drama'],['IN'],,tt6514218,5.6,300.0,1.706,6.0,"['ali haji', 'kunal kapoor', 'muskkaan jaferi', 'mohammed ali mir']","['shay', 'murali', 'pia', 'arjun']",['vandana kataria']
tm431214,"['back', 'q82']",MOVIE,"['eager', 'rejoin', 'divorced', 'parent', 'inventor', 'daughter', 'drive', 'timetraveling', 'car', 'back', '1982', 'secret', 'crush', 'accidentally', 'follows']",MEDIUM,2.5,105,"['scifi', 'action', 'comedy']",['KW'],,tt6225842,6.1,104.0,1.144,6.75,"['jassim alnabhan', 'amal anbari', 'khalid muthafar', 'nawaf al shemmeri', 'abdulaziz el nassar', 'naser albouloshy', 'ali alhamdaan', 'bashar abd alah', 'el hussein abd', 'abdul emam abdullah']","['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",['ahmed siddiqui']
tm363181,"['lady', 'first']",MOVIE,"['inspirational', 'survival', 'story', 'deepika', 'kumari', 'girl', 'born', 'roadside', 'abject', 'poverty', 'rural', 'india', 'went', 'search', 'food', 'stumbled', 'upon', 'archery', 'within', '4', 'year', 'became', 'number', 'one', 'archer', 'world']",MEDIUM,1.0,39,"['documentation', 'comedy', 'romance']",['IN'],,tt4389410,3.9,25.0,5.889,7.5,['deepika kumari'],['herself'],"['uraaz bahl', 'shaana levy']"
